epoch,train_loss
0,0.2612621784210205
1,0.1545107215642929
2,0.13197718560695648
3,0.12071919441223145
4,0.11674526333808899
5,0.11223074048757553
6,0.11954342573881149
7,0.11338428407907486
8,0.11726313084363937
9,0.10707498341798782
10,0.11828120797872543
11,0.11023204028606415
12,0.09985334426164627
13,0.11393842846155167
14,0.0945478305220604
15,0.09915278851985931
16,0.09478171169757843
17,0.08935084193944931
18,0.09483388066291809
19,0.07213353365659714
20,0.09055621922016144
21,0.07441096007823944
22,0.08581904321908951
23,0.08749426901340485
24,0.08182759582996368
25,0.0825289934873581
26,0.07143142074346542
27,0.08908125013113022
28,0.07976168394088745
29,0.07292041182518005
30,0.0763470008969307
31,0.07320638000965118
32,0.06870006024837494
33,0.07868936657905579
34,0.06839971989393234
35,0.08448883146047592
36,0.0701189860701561
37,0.06986380368471146
38,0.07073556631803513
39,0.06883493810892105
40,0.0878399983048439
41,0.08629582077264786
42,0.07681698352098465
43,0.0712963417172432
44,0.06969095766544342
45,0.07691536843776703
46,0.06987512856721878
47,0.06275255233049393
48,0.07877824455499649
49,0.07163649797439575
50,0.07351263612508774
51,0.06192287057638168
52,0.07294709980487823
53,0.07656317949295044
54,0.07078001648187637
55,0.05716117098927498
56,0.06706550717353821
57,0.07064695656299591
58,0.07110979408025742
59,0.06675353646278381
60,0.06423649191856384
61,0.06702864915132523
62,0.06303709745407104
63,0.06902586668729782
64,0.061282508075237274
65,0.0649496465921402
66,0.06513940542936325
67,0.05597345158457756
68,0.06190578639507294
69,0.06329746544361115
70,0.05832650139927864
71,0.06170221418142319
72,0.062066465616226196
73,0.06183762475848198
74,0.0693514347076416
75,0.05817151814699173
76,0.06824921816587448
77,0.06258238852024078
78,0.06148746982216835
79,0.06880754232406616
80,0.06461024284362793
81,0.06457682698965073
82,0.06318237632513046
83,0.05389416590332985
84,0.06049656495451927
85,0.062456920742988586
86,0.06348749250173569
87,0.05996670946478844
88,0.05907347425818443
89,0.06895116716623306
90,0.059574320912361145
91,0.06063618138432503
92,0.059982333332300186
93,0.06175559014081955
94,0.05728800967335701
95,0.055611904710531235
96,0.06075692176818848
97,0.05960628017783165
98,0.06271374970674515
99,0.06367499381303787
100,0.05566764250397682
101,0.06503422558307648
102,0.05931878089904785
103,0.06413047015666962
104,0.0596466101706028
105,0.056545689702034
106,0.06130200996994972
107,0.06001820042729378
108,0.05915743485093117
109,0.066951684653759
110,0.06272431463003159
111,0.0608743354678154
112,0.056829892098903656
113,0.06158486008644104
114,0.06221029534935951
115,0.05645569786429405
116,0.05633469298481941
117,0.0664556547999382
118,0.05358161777257919
119,0.0645667314529419
120,0.05626906454563141
121,0.06893051415681839
122,0.05896700546145439
123,0.05898871645331383
124,0.05586190149188042
125,0.058589447289705276
126,0.06378047168254852
127,0.06584825366735458
128,0.054595012217760086
129,0.05754914879798889
130,0.06082278862595558
131,0.06184592843055725
132,0.060796160250902176
133,0.05972684174776077
134,0.055211152881383896
135,0.05402687191963196
136,0.06448912620544434
137,0.061746541410684586
138,0.054506003856658936
139,0.05756942182779312
